22:50:18.930625 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 58971:60339, ack 1, win 2048, options [nop,nop,TS val 1330161689 ecr 1488063541], length 1368
22:50:18.930626 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 60339:61707, ack 1, win 2048, options [nop,nop,TS val 1330161689 ecr 1488063541], length 1368
22:50:18.930627 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 61707:63075, ack 1, win 2048, options [nop,nop,TS val 1330161689 ecr 1488063541], length 1368
22:50:18.930628 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 63075:64443, ack 1, win 2048, options [nop,nop,TS val 1330161689 ecr 1488063541], length 1368
22:50:18.930629 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 64443:65811, ack 1, win 2048, options [nop,nop,TS val 1330161689 ecr 1488063541], length 1368
22:50:18.930630 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 65811:65832, ack 1, win 2048, options [nop,nop,TS val 1330161689 ecr 1488063541], length 21
22:50:18.977487 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 65832:67200, ack 1, win 2048, options [nop,nop,TS val 1330161734 ecr 1488063614], length 1368
22:50:18.977492 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 67200:68568, ack 1, win 2048, options [nop,nop,TS val 1330161734 ecr 1488063614], length 1368
22:50:18.977493 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 68568:69936, ack 1, win 2048, options [nop,nop,TS val 1330161734 ecr 1488063614], length 1368
22:50:18.977495 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 69936:71304, ack 1, win 2048, options [nop,nop,TS val 1330161734 ecr 1488063614], length 1368
22:50:18.977496 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 71304:72672, ack 1, win 2048, options [nop,nop,TS val 1330161734 ecr 1488063614], length 1368
22:50:18.977498 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 72672:74040, ack 1, win 2048, options [nop,nop,TS val 1330161734 ecr 1488063614], length 1368
22:50:18.977499 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 74040:74061, ack 1, win 2048, options [nop,nop,TS val 1330161734 ecr 1488063614], length 21
22:50:18.981537 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 74061:75429, ack 1, win 2048, options [nop,nop,TS val 1330161737 ecr 1488063660], length 1368
22:50:18.981541 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 75429:76797, ack 1, win 2048, options [nop,nop,TS val 1330161737 ecr 1488063660], length 1368
22:50:18.981542 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 76797:78165, ack 1, win 2048, options [nop,nop,TS val 1330161737 ecr 1488063660], length 1368
